SALARY,TITLE,DEPARTMENT
39224.32,TECHNICIAN,PUBLIC WORKS
57210.66,POLICE SERGEANT,POLICE
41250.31,FIRE TECHNICIAN,FIRE
35668.72,CREW CHIEF II,WATER MANAGEMENT
15496.0,COUNSELOR ASST SPEC,PARKS & RECREATION
64754.04,POLICE LIEUTENANT,POLICE
70145.14,POLICE LIEUTENANT,POLICE
39285.91,FIREFIGHTER,FIRE
76124.96,ASST DIRECTOR GENERAL SERVICES,GENERAL SERVICES
68223.1,POLICE CAPTAIN,POLICE
55873.48,POLICE SERGEANT,POLICE
59890.48,MASTER OFFICER,POLICE
49031.85,EXECUTIVE ASSISTANT TO CITY MG,CITY MANAGER
26271.69,EQUIPMENT OPERATOR I,WATER MANAGEMENT
51731.68,POLICE SERGEANT,POLICE
40792.9,EQUIPMENT OPERATOR IV,SOLID WASTE
34240.17,FIREFIGHTER,FIRE
55120.0,RECORDS SYSTEM MANAGER,POLICE
63263.2,POLICE SERGEANT,POLICE
21008.0,PARA PROFESSIONAL,PARKS & RECREATION
21000.0,LABORER,PUBLIC WORKS
28853.37,EQUIPMENT OPERATOR II,SOLID WASTE
32628.7,FIREFIGHTER,FIRE
43431.96,INVESTIGATOR,POLICE
12251.2,CASHIER,PARKS & RECREATION
32907.8,EQUIPMENT OP III,SOLID WASTE
34240.17,FIREFIGHTER,FIRE
55650.08,CIVIL ENGINEER II,PUBLIC WORKS
29691.75,CUSTOMER SERVICE REPRESENTATIV,SOLID WASTE
44275.4,INVESTIGATOR,POLICE
53053.55,SR EMPLOYMENT PROGRAM COORD,ECONOMIC & EMPLOYMENT DEVELOPM
44637.58,FIRE TECHNICIAN,FIRE
43522.65,FIREFIGHTER,FIRE
28033.0,PLANT OPERATOR I,WATER MANAGEMENT
40048.84,FIRE TECHNICIAN,FIRE
53986.4,MASTER OFFICER,POLICE
25685.68,CITY ATTENDANT,SOLID WASTE
35669.3,ENGINEERING TECHNICIAN,PUBLIC WORKS
33914.47,CUSTODIAL SERVICES SUPERVISOR,GENERAL SERVICES
52141.64,PLANNER,CITY/COUNTY PLANNING
40159.08,POLICE OFFICER,POLICE
